title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,saturday,sunday,monday,tuesday,wednesday,thursday,friday,imgUrl,isClaimed,latitude,longitude
Pet Shop Delfin,4.6,94,Pet Shop,EMPTY,Boulevard Jane Sandanski 109  Skopje 1000  North Macedonia,XFP9+2J Skopje North Macedonia,petshopdelfin.mk,+389 78 699 661,10am-8pm,Closed,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,https://lh5.googleusercontent.com/p/AF1QipOUQQpc9Rx_1RqXIrtufzQQGbciwH4sFtX5YOaR=w408-h272-k-no,TRUE,41.9850625,21.4690625
Arina,4.4,53,Pet Shop,EMPTY,Gjuro Gjakovik 20  Skopje 1000  North Macedonia,XCWF+XQ Skopje North Macedonia,,+389 78 454 439,10am-6pm,Closed,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,https://lh5.googleusercontent.com/p/AF1QipMbj3pRzOGBzhldhduughH925QCRZq0HFGrMPUb=w408-h408-k-no,FALSE,41.9974375,21.4244375
ZOO-Pet Market,5,2,Pet Shop,EMPTY,Karposh  Skopje  1000  North Macedonia,X9VW+X6 Skopje North Macedonia,,+389 72 249 550,10am-8pm,Closed,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,,FALSE,41.9949375,21.3955625
Tina Vet - Royal Canin,4.4,16,Pet Shop,EMPTY,Boulevard 8-mi Septemvri 10  Skopje 1000  Skopje 1000  North Macedonia,XCX3+GR Skopje North Macedonia,,+389 2 322 0547,9am-3pm,Closed,9am-8:30pm,9am-8:30pm,9am-8:30pm,9am-8:30pm,9am-8:30pm,https://lh5.googleusercontent.com/p/AF1QipOTEL3dNhCHo5TXBUvfS_xhXfQ-KRrInKVNpSgu=w426-h240-k-no,FALSE,41.9988125,21.4045625
Tina Vet - Ramstor,4.4,26,Pet Shop,EMPTY,Skopje 1000  North Macedonia,XCRH+H5 Skopje North Macedonia,e-petshop.mk,+389 72 214 406,10am-3am,10am-12am,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://geo0.ggpht.com/cbk?panoid=bDgH40u4MfOKFP5XE3fFPA&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=210.51956&pitch=0&thumbfov=100,FALSE,41.9914375,21.4279375
"Pet Shop ""Milenice""",4.9,23,Pet Shop,EMPTY,Radishanska  Skopje  North Macedonia,3F32+C8 Skopje North Macedonia,,+389 75 275 005,9am-8pm,Closed,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,42.0535625,21.4508125
Pet Shop Otto,,,Pet Shop,EMPTY,Emile Zola 11  Skopje 1000  North Macedonia,XCPP+28 Skopje North Macedonia,,+389 78 434 645,,,,,,,,https://geo1.ggpht.com/cbk?panoid=YaKStw_yORdCRjcEGimDZA&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=66.83111&pitch=0&thumbfov=100,FALSE,41.9850625,21.4358125
Amazon Pet Shop,4.3,39,Pet Shop,EMPTY,Boulevard Jane Sandanski 50  Skopje 1000  North Macedonia,XFP7+66 Skopje North Macedonia,,+389 78 369 692,10am-7pm,Closed,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,,FALSE,41.9855625,21.4630625
Pet Stop Kiosk GTC,5,3,Pet Shop,EMPTY,MK Skopje 1000  North Macedonia,XCVP+M2 Skopje North Macedonia,petstop.mk,+389 75 585 799,10am-6pm,Closed,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm,https://lh5.googleusercontent.com/p/AF1QipNTWy8NEA7-jRDz2jhqHQbUI6_2Qq8dzwHATEqy=w408-h333-k-no,TRUE,41.9941875,21.4350625
Pet Expert,4.5,17,Pet Shop,EMPTY,Vostanichka  Skopje 1000  North Macedonia,XCHM+R3 Skopje North Macedonia,,+389 71 276 568,9am-3pm,Closed,11am-6:30pm,11am-6:30pm,11am-6:30pm,11am-6:30pm,11am-6:30pm,,FALSE,41.9795625,21.4326875
Pet shop Fauna Centar Aerodrom,5,1,Pet Shop,EMPTY,MK  Boulevard Jane Sandanski 109  Skopje 1000  North Macedonia,XFP9+25 Skopje North Macedonia,faunaelvir.com,+389 78 352 234,10am-3pm,Closed,10am-1pm 4-8pm,10am-1pm 4-8pm,10am-1pm 4-8pm,10am-1pm 4-8pm,10am-1pm 4-8pm,,TRUE,41.9850625,21.4679375
SIVA Pet Shop,5,1,Pet Care Store,EMPTY,Vidoe Smilevski Bato  8 A/1  Skopje 1000  North Macedonia,XFHF+WJ Skopje North Macedonia,,+389 78 420 144,10am-6pm,Closed,3-9pm,3-9pm,3-9pm,3-9pm,3-9pm,,FALSE,41.9798125,21.4740625
"Pet shop ""Milenice""",5,1,Supermarket,EMPTY,Shidska 24  Skopje 1000  North Macedonia,2956+PC Skopje North Macedonia,,,9am-5pm,Closed,8am-8pm,8am-8pm,8am-8pm,8am-8pm,8am-8pm,https://lh5.googleusercontent.com/p/AF1QipMe38FE84PnvehW9PuHlUGiUxtyY2EOtyy38kyJ=w408-h725-k-no,FALSE,42.0093125,21.3610625
Pet Shop Parrot Land - Novo Lisice,5,2,Pet Shop,EMPTY,Boulevard Vidoe Smilevski Bato 14  Skopje 1000 MK  Skopje 1000  North Macedonia,XFHG+V9 Skopje North Macedonia,,+389 72 699 603,10am-5pm,Closed,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,,TRUE,41.9796875,21.4759375
Tutu,3,2,Pet Shop,EMPTY,ulica  Mother Teresa 15  Skopje 1000  North Macedonia,XCRC+HW Skopje North Macedonia,,+389 72 215 271,Closed,Closed,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,,FALSE,41.9914375,21.4223125
Vet Svet veterinarna ambulanta_klinika,5,8,Veterinarian,EMPTY,MK  Nikola Trimpare 27  Skopje 1000  North Macedonia,XCW9+MQ Skopje North Macedonia,vetsvet.mk,+389 2 316 1019,,,,,,,,,TRUE,41.9966875,21.4194375
Zoovet-Centar,3.7,6,Animal hospital,EMPTY,18  Skopje 1000  North Macedonia,2C28+7F Skopje North Macedonia,,+389 2 313 0142,9am-2pm,Closed,9am-8pm,9am-8pm,9am-8pm,8:30am-8pm,9am-7pm,,FALSE,42.0006875,21.4161875
Praksis,3.6,7,Pet Shop,EMPTY,Blagoja Toska  Tetovo 1220  North Macedonia,"2X4G+75 Tetovo, North Macedonia",praksis.com.mk,+389 72 273 896,,,,,,,,,FALSE,42.0056875,20.9754375
Smart Living Concept Store,4.4,30,Shop,EMPTY,MK  Varsavska 1  Skopje 1000  North Macedonia,XCX3+XC Skopje North Macedonia,smartliving.mk,+389 2 325 6087,10am-3pm,Closed,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,https://lh5.googleusercontent.com/p/AF1QipMXTdz9sh0m6yns_hqU5n6tQAcf6GUwFYsJCsgi=w426-h240-k-no,TRUE,41.9999375,21.4035625
RIBOCENTAR Tetovo,5,9,Pet Shop,EMPTY,Tetovo 1220  North Macedonia,"2X4J+3M Tetovo, North Macedonia",,,8am-8pm,Closed,8am-8pm,8am-8pm,8am-8pm,8am-8pm,8am-8pm,,FALSE,42.0051875,20.9816875
Skopje City Mall,4.4,6917,Shopping Centre,"Local staple for shopping & dining, with multiple levels of name-brand stores, cafes & a cinema.",Ljubljanska 4  Skopje 1000  North Macedonia,293R+MM Skopje North Macedonia,skopjecitymall.mk,+389 2 321 7012,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,https://lh5.googleusercontent.com/p/AF1QipN5FmQ27ZpCzQcDanmjuOTiM0uXag9pyzjN30HL=w426-h240-k-no,TRUE,42.0041875,21.3916875
City Fashion City Mall,5,5,Clothing Shop,   In-store pick-up,Ljubljanska 4 Skopje CITY MALL  1st floor  Skopje 1000  North Macedonia,293R+RP Skopje North Macedonia,,+389 2 305 1933,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,https://lh5.googleusercontent.com/p/AF1QipPHb3w6avWj15ly54p8GPQHtEiTEYVA0DDdNtPk=w408-h271-k-no,TRUE,42.0045625,21.3918125
Ribocentar Skopje,4.7,61,Fishing shop,   In-store pick-up,Bukureshka 5  Skopje 1000  North Macedonia,X9XX+PR Skopje North Macedonia,ribocentar.com,+389 70 240 808,8am-4pm,Closed,8am-8pm,8am-8pm,8am-8pm,8am-8pm,8am-8pm,https://lh5.googleusercontent.com/p/AF1QipNUucwP-FZ16-83zhqL7jJidJCesnpcPZBsGIf3=w408-h306-k-no,TRUE,41.9993125,21.3995625
GANT,5,2,Clothing Shop,"Classic clothing & sportswear for men, women & children. Some stores sell watches & accessories.",Ljubljanska 4 Skopje City Mall  Skopje 1000  North Macedonia,293R+MV Skopje North Macedonia,fashionhouse.mk,+389 71 244 150,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,FALSE,42.0041875,21.3921875
Dambo Flower & Gifts,4.4,13,Florist,EMPTY,Blvd. Partizanski Odredi 153  Skopje 1000  North Macedonia,2959+5W Skopje North Macedonia,,+389 70 969 864,9:30am-9:30pm,9am-3pm,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm,https://lh5.googleusercontent.com/p/AF1QipMn2rxuV6XCM4UnhdKjmfVFzXZafHICN1B08LcF=w408-h730-k-no,TRUE,42.0079375,21.3698125
Loco Croco,4.4,99,Baby Clothing Shop,EMPTY,MK  Gjorche Petrov 19  Skopje 1000  North Macedonia,2947+HF Skopje North Macedonia,lococroco.com,+389 2 206 0888,9am-2pm,9am-2pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,,FALSE,42.0064375,21.3636875
Fresh Market,,,Supermarket,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",Skopje 1000  North Macedonia,294G+9F Skopje North Macedonia,,+389 78 479 131,7:30am-9:30pm,8am-2pm,7:30am-9:30pm,7:30am-9:30pm,7:30am-9:30pm,7:30am-9:30pm,7:30am-9:30pm,,FALSE,42.0059375,21.3761875
ZARA,4.3,314,Clothing Shop,"Spanish fashion chain offering on-trend house-brand clothing, shoes & accessories.       In-store pick-up",MK  Ljubljanska 4  1000  North Macedonia,293R+X6 Skopje North Macedonia,zara.com,+389 2 308 7901,10am-10pm,Closed,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,TRUE,42.0049375,21.3905625
Skechers,3.3,7,Shoe Shop,"Family footwear brand featuring athletic & casual shoes in a range of styles, plus apparel.",Ljubljanska 4  Skopje 1000 Skopje City Mall Vtor kat  Skopje 1000  North Macedonia,293R+X6 Skopje North Macedonia,skechers.com,+389 70 372 354,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,TRUE,42.0049375,21.3905625
P....S....fashion Skoplje,,,Clothing Shop,EMPTY,Skopje 1000  North Macedonia,293R+RJ Skopje North Macedonia,ps.rs,+389 2 307 0850,10am-10pm,Closed,9am-9pm,9am-9pm,10am-10pm,10am-10pm,10am-10pm,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,42.0045625,21.3915625
Timberland SCM,4.2,29,Shop,"Retail chain offering stylish, rugged apparel, footwear & accessories for men, women & children.",Blvd. Partizanski Odredi  Skopje 1000  North Macedonia,293R+PP Skopje North Macedonia,timberland.co.uk,+389 71 227 109,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,FALSE,42.0043125,21.3918125
Bershka,4.2,36,Shoe Shop,EMPTY,MK  Ljubljanska 4  Skopje 1000  North Macedonia,293R+QG Skopje North Macedonia,bershka.com,+389 2 308 7912,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,TRUE,42.0044375,21.3913125
Pandora concept store,4.5,56,Jewellery Store,"Jewelry chain featuring a variety of necklaces, rings, customizable charm bracelets & more.",City Mall  Ljubljanska 4  Skopje 1000  North Macedonia,293R+PG Skopje North Macedonia,pandora.net,+389 70 523 501,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,https://lh5.googleusercontent.com/p/AF1QipNV_KVad2rzX-fkrbupasb0gBzxwRujeF0-sz7T=w408-h544-k-no,TRUE,42.0043125,21.3913125
IQOS Zona,,,Tobacco shop,EMPTY,Ljubljanska 4 City Mall Skopje MK  1000  North Macedonia,293R+QM Skopje North Macedonia,mk.iqos.com,+389 75 275 965,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,FALSE,42.0044375,21.3916875
Tezenis,,,Clothing Shop,EMPTY,MK  Ljubljanska 4  Skopje 1000  North Macedonia,293R+X6 Skopje North Macedonia,tezenis.com,,Closed,Closed,10am-10pm,10am-10pm,10am-10pm,Closed,Closed,https://geo0.ggpht.com/cbk?panoid=cqgveDIuzS4_EoolgwGGcw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=79.02997&pitch=0&thumbfov=100,FALSE,42.0049375,21.3905625
MANGO,5,1,Ladies' Clothes Shop,Fashion chain selling upscale womenswear & accessories (some carry men's apparel).,Ljubljanska 4 K.L 113 SKOPJE MK  1000  North Macedonia,293R+X6 Skopje North Macedonia,mango.com,+389 71 227 132,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,TRUE,42.0049375,21.3905625
Koton,4.6,14,Clothing Shop,EMPTY,City Mall AVM  Ljubljanska 4  Skopje 1000  North Macedonia,293R+QP Skopje North Macedonia,koton.com,+389 2 308 3322,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNy184f6oaBbn95U-G3g-XpQlg5TuxCAyCZYFDV=w408-h839-k-no,FALSE,42.0044375,21.3918125
Miniso,,,Homewares Shop,EMPTY,North Macedonia  Ljubljanska no 4  Skopje 1000,293R+RX Skopje North Macedonia,,,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,FALSE,42.0045625,21.3924375
Gorenje GA,4.4,93,Appliance Shop,EMPTY,Blvd. Partizanski Odredi 99  Skopje 1000  North Macedonia,292X+XC Skopje North Macedonia,gorenje.com.mk,+389 2 306 2199,10am-6pm,Closed,9am-9pm,9am-9pm,9am-9pm,9am-9pm,9am-9pm,https://lh5.googleusercontent.com/p/AF1QipPey16AkMCFGoylZeLKRQU7-itcknIZ3qG8jHGN=w426-h240-k-no,FALSE,42.0024375,21.3985625
Deksport Oaza,4.8,70,Aquarium,EMPTY,Skopje 1000  North Macedonia,X9XR+9X Skopje North Macedonia,deksport.com,+389 2 306 1512,10am-5pm,Closed,9am-8:30pm,9am-8:30pm,9am-8:30pm,9am-8:30pm,9am-8:30pm,https://lh5.googleusercontent.com/p/AF1QipNgEuss7wi-bVQu-vLhd2a4KpHrhVK9zrjwVTEs=w507-h240-k-no,FALSE,41.9984375,21.3924375
Bregli,4.6,9,Shops and Shopping,EMPTY,bul  Sv. Kiril i Metodij 50  Skopie 1000  North Macedonia,XCVG+7C Skopje North Macedonia,bregli.com.mk,+389 2 322 9109,10am-2pm,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,,FALSE,41.9931875,21.4260625
United Colors of Benetton,,,Clothing Shop,"Fashion chain with own-brand casual & brightly colored apparel, plus accessories.",GRADSKI TRGOVASKI CENTAR LOKAL 016  PRIZEMJE MK  Skopje 1000  North Macedonia,XCVF+FJ Skopje North Macedonia,world.benetton.com,+389 2 311 3529,Closed,Closed,9pm-12am,9pm-12am,9pm-12am,9pm-12am,9pm-12am,,FALSE,41.9936875,21.4240625
Oriflame,,,Shop,EMPTY,Skopje 1000  North Macedonia,XCVG+75 Skopje North Macedonia,,,,,,,,,,,FALSE,41.9931875,21.4254375
IQOS Zona,,,Tobacco shop,EMPTY,Ramstore Mall  MK  Sv. Kiril i Metodij 13  Skopje 1000  North Macedonia,XCRG+MW Skopje North Macedonia,mk.iqos.com,+389 75 403 329,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,https://lh5.googleusercontent.com/p/AF1QipNEil0bpLiBGz55WvmXO1lXhAAJ9qMWe0rdphOF=w408-h408-k-no,FALSE,41.9916875,21.4273125
Jumbo,4.4,2579,Toy Shop,EMPTY,Boulevard Kocho Racin  Skopje 1000  North Macedonia,XCVR+4Q Skopje North Macedonia,jumbo.gr,+389 2 321 6006,9am-10pm,10am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,https://lh5.googleusercontent.com/p/AF1QipN3IwKhP-AXMFbKUtqcymOG-QKWh1gM00c4apzl=w408-h306-k-no,FALSE,41.9928125,21.4419375
Weekend Max Mara,5,1,Ladies' Clothes Shop,"Italian designer offering stylish women's apparel, including outerwear, shoes & accessories.",Ss Cyril And Methodius  Street  13  Skopje 1000  North Macedonia,XCXM+3H Skopje North Macedonia,weekendmaxmara.com,+389 78 339 860,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,FALSE,41.9976875,21.4339375
Pandora,4.6,5,Clothing Shop,"Jewelry chain featuring a variety of necklaces, rings, customizable charm bracelets & more.",Macedonia  Skopje 1000  North Macedonia,XCVJ+X8 Skopje North Macedonia,pandora.net,+389 2 307 6333,8am-9pm,10am-5pm,8am-9pm,8am-9pm,8am-9pm,8am-9pm,8am-9pm,,FALSE,41.9949375,21.4308125
Jasmin fashion,,,Clothing Shop,EMPTY,Skopje 1000  North Macedonia,2C4R+28 Skopje North Macedonia,,,,,,,,,,https://geo2.ggpht.com/cbk?panoid=HpQt-cvwt3OhqO2CI3QhiQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=51.185547&pitch=0&thumbfov=100,FALSE,42.0050625,21.4408125
Loco Croco,4.5,183,Toy Shop,EMPTY,Narodni Heroi 2  Skopje 1000  North Macedonia,XCGQ+CM Skopje North Macedonia,lococroco.com,+389 2 277 8998,9am-9pm,9am-2pm,9am-9pm,9am-9pm,9am-9pm,9am-9pm,9am-9pm,https://lh5.googleusercontent.com/p/AF1QipOkfGdx_qDAmb8_vHIM8s_gbI4R4i1LUGUEFwJv=w408-h295-k-no,FALSE,41.9760625,21.4391875
MANGO,3.9,17,Ladies' Clothes Shop,Fashion chain selling upscale womenswear & accessories (some carry men's apparel).,Kej 13 TI  Noemvri K2/4 MK  Skopje 1000  North Macedonia,XCVM+WP Skopje North Macedonia,mango.com,+389 71 211 620,9am-5pm,Closed,9am-9pm,9am-9pm,9am-9pm,9am-9pm,9am-9pm,https://lh5.googleusercontent.com/p/AF1QipODBIdPAKBkViPMCNkQbYaZ_TuoTyyJZKfpa6tY=w408-h544-k-no,TRUE,41.9948125,21.4343125
Miniso,5,2,Homewares Shop,EMPTY,North MacedoniaSkopje 1000,XCWM+2H Skopje North Macedonia,,+389 70 281 346,10am-10pm,Closed,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,https://lh5.googleusercontent.com/p/AF1QipP_i14sCYaxx5l17n0ZT__Y0xwe3aFR0oAPMqHP=w408-h306-k-no,FALSE,41.9950625,21.4339375
Krsh - Capitol Mall,2.7,7,Toy Shop,EMPTY,Boulevard Jane Sandanski  Skopje 1000  North Macedonia,XFP8+9H Skopje North Macedonia,krs.mk,+389 78 261 064,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,https://geo1.ggpht.com/maps/photothumb/fd/v1?bpb=ChEKD3NlYXJjaC5nd3MtcHJvZBJhChIJX1SC34wVVBMRCXyzMDMPJGQaEgmRc0rA8hVUExEfoZ6YhgdbiyIrCa08ud-MFVQTEfsaz5aClxpUGhcLEJ61-0oaDgoML2cvMTJobDkzcGptDCoKDX2JBhkVT4LLDBoGCPABEJgD&gl=GB,TRUE,41.9859375,21.4664375
Atlantik Komerc,4.3,32,Homewares Shop,EMPTY, 1000  North Macedonia,XFQ2+J5 Skopje North Macedonia,atlantikfm.com.mk,+389 70 234 743,9am-9pm,9am-3pm,9am-9pm,9am-9pm,9am-9pm,9am-9pm,9am-9pm,https://lh5.googleusercontent.com/p/AF1QipPsrS30qsuwlr8zgyMiM-NDW1zb9zM-Xw8Cfu7M=w408-h544-k-no,FALSE,41.9890625,21.4504375
CITY MARKET,5,7,Supermarket,EMPTY,3rd Macedonian Brigade Blvd (lamela A) MK  1000  North Macedonia,XFJ5+2Q Skopje North Macedonia,,,7am-9:30pm,8am-4pm,7am-9:30pm,7am-9:30pm,7am-9:30pm,7am-9:30pm,7am-9:30pm,https://lh5.googleusercontent.com/p/AF1QipPjqQdvAhhg_23GBLq-qdqTDKwcPWMxmPQ_yX07=w408-h306-k-no,FALSE,41.9800625,21.4594375
Nivo Superior,5,7,Distribution Service,EMPTY,Blagoja Stefkovski 16  Skopje 1000  North Macedonia,2F2P+38 Skopje North Macedonia,nivosuperior.com,+389 75 614 067,Closed,Closed,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,https://lh5.googleusercontent.com/p/AF1QipOdOGn7luVOxIo5q-T6BA2qRDVNBgW-QHCkzdON=w408-h306-k-no,TRUE,42.0001875,21.4858125
Koton,4.3,19,Clothing Shop,EMPTY,Capitol Mall  Av. Jane Sandanski 71a  Us. Airport  Skopje 1000  North Macedonia,XFP8+CJ Skopje North Macedonia,koton.com,+389 2 244 4502,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,FALSE,41.9860625,21.4665625
Gorenje Studio,4.9,40,Electronics Retail and Repair Shop,EMPTY,Boulevard Serbia  Skopje 1000  North Macedonia,XFJC+G8 Skopje North Macedonia,,+389 2 244 8880,10am-6pm,Closed,9am-9pm,9am-9pm,9am-9pm,9am-9pm,9am-9pm,,FALSE,41.9813125,21.4708125
Swanson,4,1,Shop,EMPTY,Skopje 1000  North Macedonia,XFQ7+98 Skopje North Macedonia,swanson.com.mk,+389 2 240 3311,,,,,,,,,FALSE,41.9884375,21.4633125
DIVAJN,5,1,Furniture maker,EMPTY,316  Boris Trajkovski  Skopje 1000  North Macedonia,WFVW+85 Skopje North Macedonia,divajn.com,+389 2 278 5904,Closed,Closed,8:30am-5pm,8:30am-5pm,8:30am-5pm,8:30am-5pm,8:30am-5pm,https://lh5.googleusercontent.com/p/AF1QipO1pImGTpa-wh98wDvLlt6lFBg-zLj3e7XRpFP3=w650-h240-k-no,TRUE,41.9433125,21.4954375
Loco Croco,,,Baby shop,EMPTY,MK  1000  North Macedonia,"WFRX+3G Drachevo, North Macedonia",lococroco.com,+389 75 301 803,,,,,,,,https://geo1.ggpht.com/cbk?panoid=tTp4gU-X0B5P5SLH1jQRHw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=239.92024&pitch=0&thumbfov=100,FALSE,41.9401875,21.4988125
Rona,3,2,Hairdresser,EMPTY,Skopje 1000  North Macedonia,292R+33 Skopje North Macedonia,,,4am-8pm,Closed,4am-8pm,4am-8pm,4am-8pm,4am-8pm,4am-8pm,https://geo1.ggpht.com/cbk?panoid=TdDtM_o3Y47Lxrs330YYjw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=101.96834&pitch=0&thumbfov=100,FALSE,42.0001875,21.3901875
